URL,Label
obit-obits.com/d20091114zp21,safe
myspace.com/denigauthier,safe
skateboardpark.com/skateboardpark/viewpark.asp?ID=6216,safe
http://algiba.com/index.php?option=com_content&view=article&id=108&Itemid=167,malicious
https://mitsui-jyuku.mixh.jp/uploads/464ODNO38B.exe,malicious
powermoves.capitaliq.com/index.php/2011/08/17/bank-of-america-merrill-lynch-appoints-patrick-hebert-and-deane-plummer/,safe
www.australianwebservices.com/attachments/paypal.com/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350cb132bc41e0934cfc023d4e8f9e5a47f36e4af16861c086524e7afb1fd92a47f36e4af16861c086524e7afb1fd92,safe
hockeyleaguehistory.com/Stanley_Cup.htm,safe
https://mitsui-jyuku.mixh.jp/uploads/862ODNO38B.exe,malicious
http://kizombafestival.pl/index.php?option=com_content&view=category&layout=blog&id=42&Itemid=80&lang=pl,malicious
theegarbageheap.blogspot.com/,safe
pep-web.org/document.php?id=cps.023.0604a,safe
stjohns.edu/academics/undergraduate/liberalarts/departments/philosophy/faculty/profiles/redpathp,safe
http://144.202.124.211/d/xd.ppc,malicious
http://1.34.247.36:35473/.i,malicious
https://onedrive.live.com/download?cid=C3D8AD85BA2ADD4E&resid=C3D8AD85BA2ADD4E!1345&authkey=AEVvyhOnxHtcDh0,malicious
http://farmaciaboahora.com/index.html,malicious
http://www.u2tt.com/uploads/allimg/c120103/13255f05304350-11053.jpg,malicious
http://censor.net.ua/news/336002/spetsstatus_donbassa_i_mestnye_vybory_tak_je_vajny_kak_i_peremirie_stoltenberg,safe
imtl.org/montreal/building/Les-Habitations-Jeanne-Mance.php,safe
http://www.surfgadget.com/component/virtuemart/index.html?page=shop.browse&featured=Y&limitstart=0,malicious
www.advantageinteractive.com/selection/,malicious
https://grantland.com/the-triangle/nba-shootaround-the-one-where-lebron-james-saves-the-day/,safe
http://www.nubiafarias.com/v1/index.php?option=com_content&view=article&id=5:auditoria&catid=2:servicos&Itemid=12,malicious
place-dupuis.foodpages.ca/,safe
http://www.yunnanguolv.com/Spot/List/List_193.html,malicious
http://www.auctionyourart.com/component/user/remind.html,malicious
http://www.deepseapearls.com/index.php?option=com_content&view=article&id=586&Itemid=29&lang=fr&FontSize=font-small,malicious
maximebernier.com/en/2010/04/pour-un-quebec-fier-responsable-et-autonome/,safe
http://kubiyot.net/index.php?option=com_content&view=article&id=17:water&catid=3:2009-09-03-09-25-41&Itemid=9,malicious
groups.google.com/group/can.jobs/msg/5ed65dadc9818c9b,safe
http://www.brigitte-koischwitz.de/index.php?option=com_dfcontact&Itemid=65,malicious
accommodations-travelnow.com/California/universal-city-hotels.htm,safe
www.cmenephrology.gr/administrator/components/com_banners/elements/,safe
commarts.com/exhibit/bristol-myers-squibb-one-life.html,safe
http://alfalfalfa.com/tag/%E3%83%9D%E3%83%86%E3%83%88%E3%83%81%E3%83%83%E3%83%97%E3%82%B9,safe
www.hahnlibrary.net/rpgs/faq/rgfdfaq.html,malicious
https://mitsui-jyuku.mixh.jp/uploads/5713687ead846bae3d6dc2187ebf1d00be.exe,malicious
rlslog.net/coalesce-ox-2009/,safe
celebgalz.com/death-of-a-cheerleader-is-about-bernadette-protti-kirsten-costas/kirsten-marina-costas-kirsten-costas/,safe
en.wikipedia.org/wiki/Buy_Nothing_Day,safe
playwrights.ca/seasonactivities/Playwrights2006-2007.html,safe
www.videocreations.co.uk/index.htm,malicious
http://kenh14.vn/suc-khoe-gioi-tinh/so-huu-guong-mat-thon-gon-voi-4-dong-tac-sieu-don-gian-2015042008562966.chn,safe
http://www.imoconcept.de/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5pbW9jb25jZXB0LmRlL2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ5OmltbW9iaWxpZW5zdWNoZSZJdGVtaWQ9NjY=,malicious
http://marm0o0lak.persiangig.com,malicious
pipl.com/directory/people/Roy/Colven,safe
courtreference.com/King-County-Washington-Courts.htm,safe
http://jahesa.com/wordpress/wp-content/plugins/sid/ub2tcjwd.0hq.exe,malicious
en.wikipedia.org/wiki/American_Film_Institute_Awards_2010,safe
crackrocksteady.ru/modules/mod_google/8046104279/241250503/payment.php,safe
dmlevents.com,malicious
http://216.180.117.208:51734/Mozi.m,malicious
getbibletruth.org/online_literature_library/why_were_you_born,safe
soundunwound.com/music/warner-bros-records/345067,safe
http://konsult-v.com/index.php?view=article&id=1:test-page&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=11&lang=en,malicious
freehabbostuff.moonfruit.com/,safe
en.wikipedia.org/wiki/Chuck_Comeau,safe
http://www.letni-tabor.eu/index.php?option=com_content&view=category&id=14:nae-tradice&Itemid=27&layout=default,malicious
trove.nla.gov.au/ndp/del/tag?allTags=1&name=Ballarat%20New%20Cemetery,safe
