URL,True Label,Predicted Label,Malicious Probability
pep-web.org/document.php?id=cps.023.0604a,safe,safe,0.0013757944
myspace.com/denigauthier,safe,safe,0.0073304176
obit-obits.com/d20091114zp21,safe,safe,0.02601695
https://mitsui-jyuku.mixh.jp/uploads/464ODNO38B.exe,malicious,malicious,0.998313
https://onedrive.live.com/download?cid=C3D8AD85BA2ADD4E&resid=C3D8AD85BA2ADD4E!1345&authkey=AEVvyhOnxHtcDh0,malicious,malicious,0.99763364
https://mitsui-jyuku.mixh.jp/uploads/862ODNO38B.exe,malicious,malicious,0.998313
powermoves.capitaliq.com/index.php/2011/08/17/bank-of-america-merrill-lynch-appoints-patrick-hebert-and-deane-plummer/,safe,safe,0.1780867
skateboardpark.com/skateboardpark/viewpark.asp?ID=6216,safe,safe,0.0019291043
theegarbageheap.blogspot.com/,safe,safe,0.00983274
hockeyleaguehistory.com/Stanley_Cup.htm,safe,safe,0.0033110976
www.australianwebservices.com/attachments/paypal.com/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350cb132bc41e0934cfc023d4e8f9e5a47f36e4af16861c086524e7afb1fd92a47f36e4af16861c086524e7afb1fd92,safe,safe,0.09383088
http://algiba.com/index.php?option=com_content&view=article&id=108&Itemid=167,malicious,malicious,0.99734336
http://1.34.247.36:35473/.i,malicious,malicious,0.99801075
http://144.202.124.211/d/xd.ppc,malicious,malicious,0.9987103
http://censor.net.ua/news/336002/spetsstatus_donbassa_i_mestnye_vybory_tak_je_vajny_kak_i_peremirie_stoltenberg,safe,safe,0.09943986
http://www.u2tt.com/uploads/allimg/c120103/13255f05304350-11053.jpg,malicious,malicious,0.96209115
stjohns.edu/academics/undergraduate/liberalarts/departments/philosophy/faculty/profiles/redpathp,safe,safe,0.010961533
http://www.surfgadget.com/component/virtuemart/index.html?page=shop.browse&featured=Y&limitstart=0,malicious,malicious,0.99353224
http://www.nubiafarias.com/v1/index.php?option=com_content&view=article&id=5:auditoria&catid=2:servicos&Itemid=12,malicious,malicious,0.99698114
