url_original,normalized_url,url_length,Shortining_Service,having_ip_address,subdomain_count,subdomain_ratio,path_depth,path_length,param_count,digit_letter_ratio,domain_entropy,path_entropy,total_special_char,special_char_ratio,risky_tld,tld_length,suspicious_word_count,url_upper_ratio,repeated_char_count,path_token_count,unique_bigrams,unique_trigrams,has_whois,domain_age_days,label
crtc.gc.ca/eng/archive/2006/db2006-108.htm,http://crtc.gc.ca/eng/archive/2006/db2006-108.htm,49,0,0,1,0.1,4,32,0,0.4074074074074074,2.321928094887362,4.1371987351738495,4,0.08163265306122448,0,2,0,0.0,4,4,3,2,0,0,safe
imdb.com/name/nm0139370/,http://imdb.com/name/nm0139370/,31,0,0,0,0.0,3,16,0,0.4117647058823529,2.75,3.202819531114783,1,0.03225806451612903,0,3,0,0.0,2,2,1,0,1,10851,safe
http://clinicavisualiza.com/es/publicaciones/articulos-periodisticos/22-prensa.html,http://clinicavisualiza.com/es/publicaciones/articulos-periodisticos/22-prensa.html,83,0,0,0,0.0,4,56,0,0.02857142857142857,3.3464393446710154,4.114605144924189,4,0.04819277108433735,0,3,0,0.0,3,4,3,2,0,0,malicious
http://www.protect-effect.nl/diensten/alarm-en-beheer/90-webradio-brengt-de-wereld-in-je-auto,http://protect-effect.nl/diensten/alarm-en-beheer/90-webradio-brengt-de-wereld-in-je-auto,89,0,0,0,0.0,3,65,0,0.02857142857142857,3.29277019393699,3.9333261825798056,11,0.12359550561797752,0,2,0,0.0,4,3,2,1,1,9633,malicious
http://gazomer.com/page-of-skidki,http://gazomer.com/page-of-skidki,33,0,0,0,0.0,1,15,0,0.0,3.095795255000934,3.506890595608519,3,0.09090909090909091,0,3,0,0.0,2,1,0,0,0,0,malicious
unixspace.com/tools/,http://unixspace.com/tools/,27,0,0,0,0.0,2,7,0,0.0,3.546593564294939,2.2359263506290326,1,0.037037037037037035,0,3,0,0.0,3,1,0,0,1,24,malicious
fellowcitizensmusic.com/,http://fellowcitizensmusic.com/,31,0,0,0,0.0,1,1,0,0.0,3.6753108689123635,-0.0,1,0.03225806451612903,0,3,0,0.0,3,0,0,0,0,0,safe
http://www.deepseapearls.com/index.php?lang=en,http://deepseapearls.com/index.php?lang=en,42,0,0,0,0.0,1,10,1,0.0,3.2639334294856335,3.1219280948873624,4,0.09523809523809523,0,3,0,0.0,3,1,0,0,0,0,malicious
keithcarson.org/,http://keithcarson.org/,23,0,0,0,0.0,1,1,0,0.0,3.640223928941852,-0.0,1,0.043478260869565216,0,3,0,0.0,2,0,0,0,1,608,safe
http://fb.com.accounts.login.userid.248767.fbsacc.com/frd/fbn/?next=http%3A%2F%2Fwww.fb.com%2videos%2F%3A%4A%4ID%1A,http://fb.com.accounts.login.userid.248767.fbsacc.com/frd/fbn/?next=http%3A%2F%2Fwww.fb.com%2videos%2F%3A%4A%4ID%1A,115,0,0,6,0.13043478260869565,3,9,1,0.20270270270270271,4.134080500385412,2.4193819456463714,20,0.17391304347826086,0,3,2,0.0782608695652174,6,2,1,0,0,0,malicious
en.allexperts.com/q/Wine-1615/2009/6/Chateau-Duhart-Milon-Rothschild.htm,http://en.allexperts.com/q/Wine-1615/2009/6/Chateau-Duhart-Milon-Rothschild.htm,79,0,0,1,0.058823529411764705,5,55,0,0.16363636363636364,3.572469458770135,4.6044677871028314,7,0.08860759493670886,0,3,0,0.06329113924050633,4,5,4,3,1,9941,safe
https://getpocket.com/signup?mode=socialmode&t=1&route=http://getpocket.com/p/pocket-topics/travel,https://getpocket.com/signup?mode=socialmode&t=1&route=http://getpocket.com/p/pocket-topics/travel,98,1,0,0,0.0,1,7,3,0.01282051282051282,3.0850551027564768,2.8073549220576037,9,0.09183673469387756,0,3,0,0.0,4,1,0,0,0,0,safe
